sample,unit,fq1,fq2
MMETSP1009,SRR1300236,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/006/SRR1300236/SRR1300236_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/006/SRR1300236/SRR1300236_2.fastq.gz
MMETSP1083,SRR1300223,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/003/SRR1300223/SRR1300223_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/003/SRR1300223/SRR1300223_2.fastq.gz
MMETSP1090,SRR1300423,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/003/SRR1300423/SRR1300423_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/003/SRR1300423/SRR1300423_2.fastq.gz
MMETSP1094,SRR1300415,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/005/SRR1300415/SRR1300415_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/005/SRR1300415/SRR1300415_2.fastq.gz
MMETSP1096,SRR1300311,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/001/SRR1300311/SRR1300311_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/001/SRR1300311/SRR1300311_2.fastq.gz
MMETSP1100,SRR1300313,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/003/SRR1300313/SRR1300313_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/003/SRR1300313/SRR1300313_2.fastq.gz
MMETSP1129,SRR1300346,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/006/SRR1300346/SRR1300346_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/006/SRR1300346/SRR1300346_2.fastq.gz
MMETSP1130,SRR1300375,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/005/SRR1300375/SRR1300375_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/005/SRR1300375/SRR1300375_2.fastq.gz
MMETSP1131,SRR1300376,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/006/SRR1300376/SRR1300376_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/006/SRR1300376/SRR1300376_2.fastq.gz
MMETSP1132,SRR1300268,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/008/SRR1300268/SRR1300268_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/008/SRR1300268/SRR1300268_2.fastq.gz
MMETSP1136,SRR1300347,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/007/SRR1300347/SRR1300347_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/007/SRR1300347/SRR1300347_2.fastq.gz
