sample,unit,fq1,fq2,reference
MMETSP0043,SRR1296870,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/000/SRR1296870/SRR1296870_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/000/SRR1296870/SRR1296870_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0043.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0044,SRR1300211,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/001/SRR1300211/SRR1300211_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/001/SRR1300211/SRR1300211_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0044.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0045,SRR1296871,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/001/SRR1296871/SRR1296871_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/001/SRR1296871/SRR1296871_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0045.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0046,SRR1294409,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1294409/SRR1294409_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1294409/SRR1294409_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0046.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0047,SRR1296872,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/002/SRR1296872/SRR1296872_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/002/SRR1296872/SRR1296872_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0047.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0052,SRR1296876,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/006/SRR1296876/SRR1296876_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/006/SRR1296876/SRR1296876_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0052.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0053,SRR1296784,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/004/SRR1296784/SRR1296784_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/004/SRR1296784/SRR1296784_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0053.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0055,SRR1296785,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/005/SRR1296785/SRR1296785_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/005/SRR1296785/SRR1296785_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0055.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0056,SRR1296787,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1296787/SRR1296787_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1296787/SRR1296787_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0056.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0057,SRR1296788,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/008/SRR1296788/SRR1296788_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/008/SRR1296788/SRR1296788_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0057.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0058,SRR1296736,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/006/SRR1296736/SRR1296736_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/006/SRR1296736/SRR1296736_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0058.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0059,SRR1296737,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1296737/SRR1296737_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1296737/SRR1296737_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0059.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0063,SRR1296991,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/001/SRR1296991/SRR1296991_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/001/SRR1296991/SRR1296991_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0063.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0086,SRR1296843,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/003/SRR1296843/SRR1296843_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/003/SRR1296843/SRR1296843_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0086.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0087,SRR1296727,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1296727/SRR1296727_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1296727/SRR1296727_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0087.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0090,SRR1296974,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/004/SRR1296974/SRR1296974_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/004/SRR1296974/SRR1296974_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0090.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0091,SRR1296975,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/005/SRR1296975/SRR1296975_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/005/SRR1296975/SRR1296975_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0091.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0093,SRR1296895,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/005/SRR1296895/SRR1296895_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/005/SRR1296895/SRR1296895_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0093.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0095,SRR1296896,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/006/SRR1296896/SRR1296896_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/006/SRR1296896/SRR1296896_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0095.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0096,SRR1296897,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1296897/SRR1296897_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1296897/SRR1296897_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0096.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0097,SRR1296898,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/008/SRR1296898/SRR1296898_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/008/SRR1296898/SRR1296898_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0097.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0098,SRR1296996,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/006/SRR1296996/SRR1296996_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/006/SRR1296996/SRR1296996_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0098.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0099,SRR1296837,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1296837/SRR1296837_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1296837/SRR1296837_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0099.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0100,SRR1296838,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/008/SRR1296838/SRR1296838_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/008/SRR1296838/SRR1296838_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0100.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0101,SRR1296726,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/006/SRR1296726/SRR1296726_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/006/SRR1296726/SRR1296726_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0101.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0102,SRR1296725,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/005/SRR1296725/SRR1296725_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/005/SRR1296725/SRR1296725_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0102.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0103,SRR1296728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/008/SRR1296728/SRR1296728_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/008/SRR1296728/SRR1296728_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0103.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0104,SRR1296729,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1296729/SRR1296729_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1296729/SRR1296729_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0104.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0105,SRR1294413,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/003/SRR1294413/SRR1294413_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/003/SRR1294413/SRR1294413_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0105.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0106,SRR1296844,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/004/SRR1296844/SRR1296844_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/004/SRR1296844/SRR1296844_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0106.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
